Time Taken, Video Length, File Size, (start time 10:36 AM, 5998 kb/s video bitrate and 192 kb/s audio bitrate
8, 5:24, 245.8MB,
8, 9:24, 457.5 MB,
9, 13:44, 634.3 MB,
11, 18:36, 856.1 MB,
12, 23:06, 1.07 GB,
14, 26:56, 1.24 GB,
16, 31:47, 1.47 GB,
18, 36:17, 1.68 GB,
21, 40:07, 1.86 GB,
23, 44:59, 2.08 GB,
30, 49:29, 2.29 GB,
34, 53:19, 2.47 GB,
37, 58:11, 2.69 GB,
41, 1:02:41, 2.9 GB,
42, 1:06:30, 3.08 GB,
50, 1:11:22, 3.3 GB,
55, 1:15:52, 3.51 GB,
1:01, 1:19:42, 3.69 GB,
1:07, 1:24:34, 3.91 GB,
1:20, 1:29:04, 4.04 GB,
1:26, 1:32:54, 4.3 GB,
1:32, 1:37:46, 4.52 GB,
1:38, 1:42:16, 4.73 GB,
1:45, 1:46:05, 4.91 GB,
1:52, 1:50:57, 5.13 GB,
1:59, 1:55:27, 5.34 GB,
2:07, 1:59:17, 5.52 GB,
2:16, 2:04:09, 5.45 GB,
2:24, 2:08:39, 5.95 GB,
2:32, 2:11:57, 6.11 GB,
